2013-10-08 14:37:18 Warning: Warning (2): mysql_connect() [http://php.net/function.mysql-connect]: Access denied for user 'user'@'localhost' (using password: YES) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/model/datasources/dbo/dbo_mysql.php, line 561]
2013-11-24 14:17:28 Warning: Warning (2): Missing argument 1 for PostsController::delete() in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php, line 41]
2013-11-25 02:07:00 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/sandeepankundu/Sites/cakephp13/myapp/views/posts/json/index.ctp, line 2]
2013-11-25 02:07:07 Warning: Warning (2): Invalid argument supplied for foreach() in [/Users/sandeepankundu/Sites/cakephp13/myapp/views/posts/json/index.ctp, line 2]
2013-11-25 02:24:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 02:24:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 02:24:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 02:24:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 02:24:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 02:24:41 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 02:29:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 02:29:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 02:29:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 02:29:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 02:29:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 02:29:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 02:34:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 02:34:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 02:34:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 02:34:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 02:34:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 02:34:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 02:34:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 02:34:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 02:34:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 02:34:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 02:34:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 02:34:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 742]
2013-11-25 03:10:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 03:10:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 03:10:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 03:10:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 03:10:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 03:11:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 03:11:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 03:11:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 03:11:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
2013-11-25 03:11:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 957]
2013-11-25 03:11:10 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 953]
2013-11-25 03:11:10 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 954]
2013-11-25 03:11:10 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 955]
2013-11-25 03:11:10 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Users/sandeepankundu/Sites/cakephp13/myapp/controllers/posts_controller.php:45) in [/Users/sandeepankundu/Sites/cakephp13/cake/libs/controller/controller.php, line 956]
